2023-09-27 16:40:18 20 C, 68 F
2023-09-27 16:43:06 20 C, 68 F
2023-09-27 16:43:07 20 C, 68 F
2023-09-27 16:43:08 21 C, 69 F
2023-09-27 16:43:09 20 C, 68 F
2023-09-27 16:43:10 20 C, 68 F
2023-09-27 16:43:11 20 C, 68 F
2023-09-27 16:43:12 20 C, 68 F
2023-09-27 16:43:13 20 C, 68 F
2023-09-27 16:43:14 20 C, 68 F
2023-09-27 16:43:15 21 C, 69 F
2023-09-27 16:43:16 20 C, 68 F
2023-09-27 16:43:17 20 C, 68 F
2023-09-27 16:43:18 20 C, 68 F
2023-09-27 16:43:19 20 C, 68 F
2023-09-27 16:43:20 20 C, 68 F
2023-09-27 16:43:21 20 C, 68 F
2023-09-27 16:43:22 21 C, 69 F
2023-09-27 16:43:23 21 C, 69 F
2023-09-27 16:43:24 21 C, 69 F
2023-09-27 16:43:25 20 C, 68 F
2023-09-27 16:43:26 20 C, 68 F
2023-09-27 16:43:27 20 C, 68 F
2023-09-27 16:43:28 21 C, 69 F
2023-09-27 16:43:29 20 C, 68 F
2023-09-27 16:43:30 21 C, 69 F
2023-09-27 16:43:31 20 C, 68 F
2023-09-27 16:43:32 20 C, 68 F
2023-09-27 16:43:33 20 C, 68 F
2023-09-27 16:43:34 20 C, 68 F
2023-09-27 16:43:35 21 C, 69 F
2023-09-27 16:43:36 20 C, 68 F
2023-09-27 16:43:37 20 C, 68 F
2023-09-27 16:43:38 21 C, 69 F
2023-09-27 16:43:39 20 C, 68 F
2023-09-27 16:43:40 20 C, 68 F
2023-09-27 16:43:41 20 C, 68 F
2023-09-27 16:43:42 20 C, 68 F
2023-09-27 16:43:43 21 C, 69 F
2023-09-27 16:43:44 20 C, 68 F
2023-09-27 16:43:45 21 C, 69 F
2023-09-27 16:43:46 21 C, 69 F
2023-09-27 16:43:47 21 C, 69 F
2023-09-27 16:43:48 20 C, 68 F
2023-09-27 16:43:49 20 C, 68 F
2023-09-27 16:43:50 20 C, 68 F
2023-09-27 16:43:51 20 C, 68 F
2023-09-27 16:43:52 21 C, 69 F
2023-09-27 16:43:53 20 C, 68 F
2023-09-27 16:43:54 21 C, 69 F
2023-09-27 16:43:55 20 C, 68 F
2023-09-27 16:43:56 21 C, 69 F
2023-09-27 16:43:57 20 C, 68 F
2023-09-27 16:43:58 20 C, 68 F
2023-09-27 16:43:59 20 C, 68 F
2023-09-27 16:44:00 20 C, 68 F
2023-09-27 16:44:01 21 C, 69 F
2023-09-27 16:44:02 20 C, 68 F
2023-09-27 16:44:03 21 C, 69 F
2023-09-27 16:44:04 20 C, 68 F
2023-09-27 16:44:05 20 C, 68 F
2023-09-27 16:44:06 21 C, 69 F
2023-09-27 16:44:07 20 C, 68 F
2023-09-27 16:44:08 20 C, 68 F
2023-09-27 16:44:09 21 C, 69 F
2023-09-27 16:44:10 20 C, 68 F
2023-09-27 16:44:11 21 C, 69 F
2023-09-27 16:44:12 20 C, 68 F
2023-09-27 16:44:13 21 C, 69 F
2023-09-27 16:44:14 21 C, 69 F
2023-09-27 16:44:15 20 C, 68 F
2023-09-27 16:44:16 20 C, 68 F
2023-09-27 16:44:17 20 C, 68 F
2023-09-27 16:44:18 20 C, 68 F
2023-09-27 16:44:19 20 C, 68 F
2023-09-27 16:44:20 20 C, 68 F
2023-09-27 16:44:21 21 C, 69 F
2023-09-27 16:44:22 20 C, 68 F
2023-09-27 16:44:23 20 C, 68 F
2023-09-27 16:44:24 20 C, 68 F
2023-09-27 16:44:25 21 C, 69 F
2023-09-27 16:44:26 21 C, 69 F
2023-09-27 16:44:27 21 C, 69 F
2023-09-27 16:44:28 21 C, 69 F
2023-09-27 16:44:29 21 C, 69 F
2023-09-27 16:44:30 21 C, 69 F
2023-09-27 16:44:31 21 C, 69 F
2023-09-27 16:44:32 21 C, 69 F
2023-09-27 16:44:33 21 C, 69 F
2023-09-27 16:44:34 21 C, 69 F
2023-09-27 16:44:35 20 C, 68 F
2023-09-27 16:44:36 21 C, 69 F
2023-09-27 16:44:37 21 C, 69 F
2023-09-27 16:44:38 21 C, 69 F
2023-09-27 16:44:39 20 C, 68 F
2023-09-27 16:44:40 21 C, 69 F
2023-09-27 16:44:41 21 C, 69 F
2023-09-27 16:44:42 21 C, 69 F
2023-09-27 16:44:43 20 C, 68 F
2023-09-27 16:44:44 21 C, 69 F
2023-09-27 16:44:45 21 C, 69 F
2023-09-27 16:44:46 20 C, 68 F
2023-09-27 16:44:47 20 C, 68 F
2023-09-27 16:44:48 21 C, 69 F
2023-09-27 16:44:49 20 C, 68 F
2023-09-27 16:44:50 21 C, 69 F
2023-09-27 16:44:51 20 C, 68 F
2023-09-27 16:44:52 20 C, 68 F
2023-09-27 16:44:53 21 C, 69 F
2023-09-27 16:44:54 20 C, 68 F
2023-09-27 16:44:55 20 C, 68 F
2023-09-27 16:44:56 21 C, 69 F
2023-09-27 16:44:57 21 C, 69 F
2023-09-27 16:44:58 21 C, 69 F
2023-09-27 16:44:59 21 C, 69 F
2023-09-27 16:45:00 21 C, 69 F
2023-09-27 16:45:01 21 C, 69 F
2023-09-27 16:45:02 20 C, 68 F
2023-09-27 16:45:03 21 C, 69 F
2023-09-27 16:45:04 21 C, 69 F
2023-09-27 16:45:05 21 C, 69 F
2023-09-27 16:45:06 20 C, 68 F
2023-09-27 16:45:07 21 C, 69 F
2023-09-27 16:45:08 21 C, 69 F
2023-09-27 16:45:09 21 C, 69 F
2023-09-27 16:45:10 21 C, 69 F
2023-09-27 16:45:11 21 C, 69 F
2023-09-27 16:45:12 21 C, 69 F
2023-09-27 16:45:13 20 C, 68 F
2023-09-27 16:45:14 19 C, 66 F
2023-09-27 16:45:15 21 C, 69 F
2023-09-27 16:45:16 20 C, 68 F
2023-09-27 16:45:17 21 C, 69 F
2023-09-27 16:45:18 20 C, 68 F
2023-09-27 16:45:19 21 C, 69 F
2023-09-27 16:45:20 21 C, 69 F
2023-09-27 16:45:21 21 C, 69 F
2023-09-27 16:45:22 21 C, 69 F
2023-09-27 16:45:23 20 C, 68 F
2023-09-27 16:45:24 21 C, 69 F
2023-09-27 16:45:25 20 C, 68 F
2023-09-27 16:45:26 21 C, 69 F
2023-09-27 16:45:27 20 C, 68 F
2023-09-27 16:45:28 20 C, 68 F
2023-09-27 16:45:29 20 C, 68 F
2023-09-27 16:45:30 21 C, 69 F
2023-09-27 16:45:31 20 C, 68 F
2023-09-27 16:45:32 20 C, 68 F
2023-09-27 16:45:33 20 C, 68 F
2023-09-27 16:45:34 21 C, 69 F
2023-09-27 16:45:35 20 C, 68 F
2023-09-27 16:45:36 20 C, 68 F
2023-09-27 16:45:37 20 C, 68 F
2023-09-27 16:45:38 21 C, 69 F
2023-09-27 16:45:39 21 C, 69 F
2023-09-27 16:45:40 21 C, 69 F
2023-09-27 16:45:41 20 C, 68 F
2023-09-27 16:45:42 20 C, 68 F
2023-09-27 16:45:43 20 C, 68 F
2023-09-27 16:45:44 21 C, 69 F
2023-09-27 16:45:45 21 C, 69 F
2023-09-27 16:45:46 21 C, 69 F
2023-09-27 16:45:47 21 C, 69 F
2023-09-27 16:45:48 21 C, 69 F
2023-09-27 16:45:49 21 C, 69 F
2023-09-27 16:45:50 20 C, 68 F
2023-09-27 16:45:51 21 C, 69 F
2023-09-27 16:45:52 21 C, 69 F
2023-09-27 16:45:53 21 C, 69 F
2023-09-27 16:45:54 20 C, 68 F
2023-09-27 16:45:55 21 C, 69 F
2023-09-27 16:45:56 21 C, 69 F
2023-09-27 16:45:57 21 C, 69 F
2023-09-27 16:45:58 21 C, 69 F
2023-09-27 16:45:59 21 C, 69 F
2023-09-27 16:46:00 21 C, 69 F
2023-09-27 16:46:01 21 C, 69 F
2023-09-27 16:46:02 21 C, 69 F
2023-09-27 16:46:03 21 C, 69 F
2023-09-27 16:46:04 21 C, 69 F
2023-09-27 16:46:05 21 C, 69 F
2023-09-27 16:46:06 21 C, 69 F
2023-09-27 16:46:07 21 C, 69 F
2023-09-27 16:46:08 21 C, 69 F
2023-09-27 16:46:09 20 C, 68 F
2023-09-27 16:46:10 21 C, 69 F
2023-09-27 16:46:11 21 C, 69 F
2023-09-27 16:46:12 20 C, 68 F
2023-09-27 16:46:13 21 C, 69 F
2023-09-27 16:46:14 20 C, 68 F
2023-09-27 16:46:15 20 C, 68 F
2023-09-27 16:46:16 21 C, 69 F
2023-09-27 16:46:17 20 C, 68 F
2023-09-27 16:46:18 20 C, 68 F
2023-09-27 16:46:19 20 C, 68 F
2023-09-27 16:46:20 20 C, 68 F
2023-09-27 16:46:21 21 C, 69 F
2023-09-27 16:46:22 20 C, 68 F
2023-09-27 16:46:23 21 C, 69 F
2023-09-27 16:46:24 21 C, 69 F
2023-09-27 16:46:25 20 C, 68 F
2023-09-27 16:46:26 20 C, 68 F
2023-09-27 16:46:27 20 C, 68 F
2023-09-27 16:46:28 20 C, 68 F
2023-09-27 16:46:29 20 C, 68 F
2023-09-27 16:46:30 20 C, 68 F
2023-09-27 16:46:31 20 C, 68 F
2023-09-27 16:46:32 21 C, 69 F
2023-09-27 16:46:33 21 C, 69 F
2023-09-27 16:46:34 21 C, 69 F
2023-09-27 16:46:35 20 C, 68 F
2023-09-27 16:46:36 20 C, 68 F
2023-09-27 16:46:37 20 C, 68 F
2023-09-27 16:46:38 20 C, 68 F
2023-09-27 16:46:39 20 C, 68 F
2023-09-27 16:46:40 20 C, 68 F
2023-09-27 16:46:41 20 C, 68 F
2023-09-27 16:46:42 20 C, 68 F
2023-09-27 16:46:43 20 C, 68 F
2023-09-27 16:46:44 20 C, 68 F
2023-09-27 16:46:45 20 C, 68 F
2023-09-27 16:46:46 20 C, 68 F
2023-09-27 16:46:47 20 C, 68 F
2023-09-27 16:46:48 21 C, 69 F
2023-09-27 16:46:49 21 C, 69 F
2023-09-27 16:46:50 20 C, 68 F
2023-09-27 16:46:51 20 C, 68 F
2023-09-27 16:46:52 21 C, 69 F
2023-09-27 16:46:53 20 C, 68 F
2023-09-27 16:46:54 21 C, 69 F
2023-09-27 16:46:55 20 C, 68 F
2023-09-27 16:46:56 21 C, 69 F
2023-09-27 16:46:57 21 C, 69 F
2023-09-27 16:46:58 21 C, 69 F
2023-09-27 16:46:59 20 C, 68 F
2023-09-27 16:47:00 20 C, 68 F
2023-09-27 16:47:01 20 C, 68 F
2023-09-27 16:47:02 21 C, 69 F
2023-09-27 16:47:03 20 C, 68 F
2023-09-27 16:47:04 20 C, 68 F
2023-09-27 16:47:05 21 C, 69 F
2023-09-27 16:47:06 21 C, 69 F
2023-09-27 16:47:07 21 C, 69 F
2023-09-27 16:47:08 20 C, 68 F
2023-09-27 16:47:09 21 C, 69 F
2023-09-27 16:47:10 20 C, 68 F
2023-09-27 16:47:11 20 C, 68 F
2023-09-27 16:47:12 21 C, 69 F
2023-09-27 16:47:13 20 C, 68 F
2023-09-27 16:47:14 21 C, 69 F
2023-09-27 16:47:15 21 C, 69 F
2023-09-27 16:47:16 20 C, 68 F
2023-09-27 16:47:17 20 C, 68 F
2023-09-27 16:47:18 21 C, 69 F
2023-09-27 16:47:19 20 C, 68 F
2023-09-27 16:47:20 20 C, 68 F
2023-09-27 16:47:21 20 C, 68 F
2023-09-27 16:47:22 21 C, 69 F
2023-09-27 16:47:23 21 C, 69 F
2023-09-27 16:47:24 21 C, 69 F
2023-09-27 16:47:25 21 C, 69 F
2023-09-27 16:47:26 20 C, 68 F
2023-09-27 16:47:27 20 C, 68 F
2023-09-27 16:47:28 21 C, 69 F
2023-09-27 16:47:29 20 C, 68 F
2023-09-27 16:47:30 21 C, 69 F
2023-09-27 16:47:31 21 C, 69 F
2023-09-27 16:47:32 20 C, 68 F
2023-09-27 16:47:33 20 C, 68 F
2023-09-27 16:47:34 21 C, 69 F
2023-09-27 16:47:35 21 C, 69 F
2023-09-27 16:47:36 20 C, 68 F
2023-09-27 16:47:37 21 C, 69 F
2023-09-27 16:47:38 21 C, 69 F
2023-09-27 16:47:39 21 C, 69 F
2023-09-27 16:47:40 21 C, 69 F
2023-09-27 16:47:41 20 C, 68 F
2023-09-27 16:47:42 21 C, 69 F
2023-09-27 16:47:43 21 C, 69 F
2023-09-27 16:47:44 21 C, 69 F
2023-09-27 16:47:45 21 C, 69 F
2023-09-27 16:47:46 21 C, 69 F
2023-09-27 16:47:47 21 C, 69 F
2023-09-27 16:47:48 21 C, 69 F
2023-09-27 16:47:49 21 C, 69 F
2023-09-27 16:47:50 21 C, 69 F
2023-09-27 16:47:51 20 C, 68 F
2023-09-27 16:47:52 21 C, 69 F
2023-09-27 16:47:53 21 C, 69 F
2023-09-27 16:47:54 21 C, 69 F
2023-09-27 16:47:55 21 C, 69 F
2023-09-27 16:47:56 21 C, 69 F
2023-09-27 16:47:57 20 C, 68 F
2023-09-27 16:47:58 21 C, 69 F
2023-09-27 16:47:59 20 C, 68 F
2023-09-27 16:48:00 21 C, 69 F
2023-09-27 16:48:01 21 C, 69 F
2023-09-27 16:48:02 21 C, 69 F
2023-09-27 16:48:03 20 C, 68 F
2023-09-27 16:48:04 21 C, 69 F
2023-09-27 16:48:05 20 C, 68 F
2023-09-27 16:48:06 20 C, 68 F
2023-09-27 16:48:07 20 C, 68 F
2023-09-27 16:48:08 21 C, 69 F
2023-09-27 16:48:09 20 C, 68 F
2023-09-27 16:48:10 21 C, 69 F
2023-09-27 16:48:11 21 C, 69 F
2023-09-27 16:48:12 21 C, 69 F
2023-09-27 16:48:13 21 C, 69 F
2023-09-27 16:48:14 21 C, 69 F
2023-09-27 16:48:15 21 C, 69 F
2023-09-27 16:48:16 21 C, 69 F
2023-09-27 16:48:17 21 C, 69 F
2023-09-27 16:48:18 21 C, 69 F
2023-09-27 16:48:19 20 C, 68 F
2023-09-27 16:48:20 20 C, 68 F
2023-09-27 16:48:21 20 C, 68 F
2023-09-27 16:48:22 21 C, 69 F
2023-09-27 16:48:23 21 C, 69 F
2023-09-27 16:48:24 20 C, 68 F
2023-09-27 16:48:25 20 C, 68 F
2023-09-27 16:48:26 20 C, 68 F
2023-09-27 16:48:27 20 C, 68 F
2023-09-27 16:48:28 20 C, 68 F
2023-09-27 16:48:29 20 C, 68 F
2023-09-27 16:48:30 20 C, 68 F
2023-09-27 16:48:31 20 C, 68 F
2023-09-27 16:48:32 20 C, 68 F
2023-09-27 16:48:33 20 C, 68 F
2023-09-27 16:48:34 20 C, 68 F
2023-09-27 16:48:35 20 C, 68 F
2023-09-27 16:48:36 21 C, 69 F
2023-09-27 16:48:37 21 C, 69 F
2023-09-27 16:48:38 21 C, 69 F
2023-09-27 16:48:39 21 C, 69 F
2023-09-27 16:48:40 20 C, 68 F
2023-09-27 16:48:41 20 C, 68 F
2023-09-27 16:48:42 21 C, 69 F
2023-09-27 16:48:43 20 C, 68 F
2023-09-27 16:48:44 20 C, 68 F
2023-09-27 16:48:45 21 C, 69 F
2023-09-27 16:48:46 20 C, 68 F
2023-09-27 16:48:47 20 C, 68 F
2023-09-27 16:48:48 20 C, 68 F
2023-09-27 16:48:49 20 C, 68 F
2023-09-27 16:48:50 20 C, 68 F
2023-09-27 16:48:51 20 C, 68 F
2023-09-27 16:48:52 20 C, 68 F
2023-09-27 16:48:53 20 C, 68 F
2023-09-27 16:48:54 20 C, 68 F
2023-09-27 16:48:55 21 C, 69 F
2023-09-27 16:48:56 20 C, 68 F
2023-09-27 16:48:57 20 C, 68 F
2023-09-27 16:48:58 20 C, 68 F
2023-09-27 16:48:59 21 C, 69 F
2023-09-27 16:49:00 20 C, 68 F
2023-09-27 16:49:01 21 C, 69 F
2023-09-27 16:49:02 21 C, 69 F
2023-09-27 16:49:03 21 C, 69 F
2023-09-27 16:49:04 20 C, 68 F
2023-09-27 16:49:05 20 C, 68 F
2023-09-27 16:49:06 20 C, 68 F
2023-09-27 16:49:07 20 C, 68 F
2023-09-27 16:49:08 20 C, 68 F
2023-09-27 16:49:09 21 C, 69 F
2023-09-27 16:49:10 20 C, 68 F
2023-09-27 16:49:11 20 C, 68 F
2023-09-27 16:49:12 20 C, 68 F
2023-09-27 16:49:13 21 C, 69 F
2023-09-27 16:49:14 20 C, 68 F
2023-09-27 16:49:15 20 C, 68 F
2023-09-27 16:49:16 20 C, 68 F
2023-09-27 16:49:17 20 C, 68 F
2023-09-27 16:49:18 20 C, 68 F
2023-09-27 16:49:19 20 C, 68 F
2023-09-27 16:49:20 20 C, 68 F
2023-09-27 16:49:21 20 C, 68 F
2023-09-27 16:49:22 20 C, 68 F
2023-09-27 16:49:23 20 C, 68 F
2023-09-27 16:49:24 21 C, 69 F
2023-09-27 16:49:25 20 C, 68 F
2023-09-27 16:49:26 21 C, 69 F
2023-09-27 16:49:27 20 C, 68 F
2023-09-27 16:49:28 20 C, 68 F
2023-09-27 16:49:29 20 C, 68 F
2023-09-27 16:49:30 20 C, 68 F
2023-09-27 16:49:31 20 C, 68 F
2023-09-27 16:49:32 20 C, 68 F
2023-09-27 16:49:33 20 C, 68 F
2023-09-27 16:49:34 20 C, 68 F
2023-09-27 16:49:35 20 C, 68 F
2023-09-27 16:49:36 20 C, 68 F
2023-09-27 16:49:37 20 C, 68 F
2023-09-27 16:49:38 20 C, 68 F
2023-09-27 16:49:39 20 C, 68 F
2023-09-27 16:49:40 20 C, 68 F
2023-09-27 16:49:41 20 C, 68 F
2023-09-27 16:49:42 20 C, 68 F
2023-09-27 16:49:43 20 C, 68 F
2023-09-27 16:49:44 20 C, 68 F
2023-09-27 16:49:45 20 C, 68 F
2023-09-27 16:49:46 20 C, 68 F
2023-09-27 16:49:47 20 C, 68 F
2023-09-27 16:49:48 20 C, 68 F
2023-09-27 16:49:49 20 C, 68 F
2023-09-27 16:49:50 20 C, 68 F
2023-09-27 16:49:51 20 C, 68 F
2023-09-27 16:49:52 20 C, 68 F
2023-09-27 16:49:53 20 C, 68 F
2023-09-27 16:49:54 20 C, 68 F
2023-09-27 16:49:55 20 C, 68 F
2023-09-27 16:49:56 20 C, 68 F
2023-09-27 16:49:57 21 C, 69 F
2023-09-27 16:49:58 20 C, 68 F
2023-09-27 16:49:59 20 C, 68 F
2023-09-27 16:50:00 20 C, 68 F
2023-09-27 16:50:01 20 C, 68 F
2023-09-27 16:50:02 20 C, 68 F
2023-09-27 16:50:03 20 C, 68 F
2023-09-27 16:50:04 20 C, 68 F
2023-09-27 16:50:05 20 C, 68 F
2023-09-27 16:50:06 20 C, 68 F
2023-09-27 16:50:07 20 C, 68 F
2023-09-27 16:50:08 20 C, 68 F
2023-09-27 16:50:09 20 C, 68 F
2023-09-27 16:50:10 20 C, 68 F
2023-09-27 16:50:11 20 C, 68 F
2023-09-27 16:50:12 20 C, 68 F
2023-09-27 16:50:13 20 C, 68 F
2023-09-27 16:50:14 20 C, 68 F
2023-09-27 16:50:15 20 C, 68 F
2023-09-27 16:50:16 20 C, 68 F
2023-09-27 16:50:17 20 C, 68 F
2023-09-27 16:50:18 20 C, 68 F
2023-09-27 16:50:19 20 C, 68 F
2023-09-27 16:50:20 20 C, 68 F
2023-09-27 16:50:21 20 C, 68 F
2023-09-27 16:50:22 20 C, 68 F
2023-09-27 16:50:23 20 C, 68 F
2023-09-27 16:50:24 20 C, 68 F
2023-09-27 16:50:25 20 C, 68 F
2023-09-27 16:50:26 20 C, 68 F
2023-09-27 16:50:27 20 C, 68 F
2023-09-27 16:50:28 20 C, 68 F
2023-09-27 16:50:29 20 C, 68 F
2023-09-27 16:50:30 20 C, 68 F
2023-09-27 16:50:31 20 C, 68 F
2023-09-27 16:50:32 20 C, 68 F
2023-09-27 16:50:33 21 C, 69 F
2023-09-27 16:50:34 20 C, 68 F
2023-09-27 16:50:35 20 C, 68 F
2023-09-27 16:50:36 21 C, 69 F
2023-09-27 16:50:37 21 C, 69 F
2023-09-27 16:50:38 20 C, 68 F
2023-09-27 16:50:39 21 C, 69 F
2023-09-27 16:50:40 21 C, 69 F
2023-09-27 16:50:41 21 C, 69 F
2023-09-27 16:50:42 20 C, 68 F
2023-09-27 16:50:43 20 C, 68 F
2023-09-27 16:50:44 20 C, 68 F
2023-09-27 16:50:45 20 C, 68 F
2023-09-27 16:50:46 20 C, 68 F
2023-09-27 16:50:47 20 C, 68 F
2023-09-27 16:50:48 21 C, 69 F
2023-09-27 16:50:49 21 C, 69 F
2023-09-27 16:50:51 20 C, 68 F
2023-09-27 16:50:52 21 C, 69 F
2023-09-27 16:50:53 21 C, 69 F
2023-09-27 16:50:54 20 C, 68 F
